Cosmetic Products Regulation, Annex II - Prohibited Substances
Note: Group entries are split in different rows.
Export date: 10/10/2024 21:22:23
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	""	""	""	""	""	
"Name"	"EC No."	"CAS No."	"Ref No."	"Name"	"EC Number"	"CAS"	"Molecular formula"	"Expressed As"	"Product type, body parts"	"Maximum Threshold"	"Restriction(s)"	"Notes"	
"Tetrachlorosalicylanilides"	"-"	"7426-07-5"	"348"	"Tetrachlorosalicylanilides"	""	"7426-07-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tetrachloroethylene"	"204-825-9"	"127-18-4"	"314"	"Tetrachloroethylene"	"204-825-9"	"127-18-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tetracarbonylnickel"	"236-669-2"	"13463-39-3"	"459"	"Tetracarbonylnickel"	"236-669-2"	"13463-39-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tetracaine"	"202-316-6"	"94-24-6"	"63"	"Tetracaine"	"202-316-6"	"94-24-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tetrabromosalicylanilides"	"-"	"-"	"350"	"Tetrabromosalicylanilides"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"Tetraboron disodium heptaoxide, hydrate"	"235-541-3"	"12267-73-1"	"1396"	"Tetraboron disodium heptaoxide, hydrate"	"235-541-3"	"12267-73-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tetraborates"	"-"	"-"	"1396"	"Tetraborates"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"Tetrabenazine"	"200-383-6"	"58-46-8"	"139"	"Tetrabenazine"	"200-383-6"	"58-46-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"tert-Butyl hydroperoxide"	"200-915-7"	"75-91-2"	"1641"	"tert-Butyl hydroperoxide"	"200-915-7"	"75-91-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tepraloxydim (ISO)"	"604-715-4"	"149979-41-9"	"1481"	"Tepraloxydim (ISO)"	"604-715-4"	"149979-41-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tembotrione (ISO)"	"608-879-8"	"335104-84-2"	"1582"	"Tembotrione (ISO)"	"608-879-8"	"335104-84-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tellurium dioxide"	"231-193-1"	"7446-07-3"	"1698"	"Tellurium dioxide"	"231-193-1"	"7446-07-3"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 December 2023"	
"Tellurium and its compounds"	"-"	"-"	"312"	"Tellurium and its compounds"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"Tefazoline"	"-"	"1082-56-0"	"237"	"Tefazoline"	""	"1082-56-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"Technical product-reaction mass of [4-methyl-m-phenylenediamine and 2-methyl-m-phenylenediamine]"	"-"	"-"	"1507"	"Technical product-reaction mass of [4-methyl-m-phenylenediamine and 2-methyl-m-phenylenediamine]"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"Tar oils, coal, low-temp."	"309-889-2"	"101316-87-4"	"1541"	"Tar oils, coal, low-temp."	"309-889-2"	"101316-87-4"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Tar oils, coal"	"266-016-7"	"65996-82-9"	"1539"	"Tar oils, coal"	"266-016-7"	"65996-82-9"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Tar bases, quinoline derivs."	"271-020-7"	"68513-87-1"	"1541"	"Tar bases, quinoline derivs."	"271-020-7"	"68513-87-1"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Tar bases, coal, toluidine fraction"	"293-767-8"	"91082-53-0"	"1539"	"Tar bases, coal, toluidine fraction"	"293-767-8"	"91082-53-0"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Tar bases, coal, quinoline derivs. fraction"	"274-560-1"	"70321-67-4"	"1541"	"Tar bases, coal, quinoline derivs. fraction"	"274-560-1"	"70321-67-4"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Tar bases, coal, picoline fraction"	"295-548-2"	"92062-33-4"	"1539"	"Tar bases, coal, picoline fraction"	"295-548-2"	"92062-33-4"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Tar bases, coal, lutidine fraction"	"293-766-2"	"91082-52-9"	"1539"	"Tar bases, coal, lutidine fraction"	"293-766-2"	"91082-52-9"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Tar bases, coal, distn. residues"	"295-544-0"	"92062-29-8"	"1541"	"Tar bases, coal, distn. residues"	"295-544-0"	"92062-29-8"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Tar bases, coal, crude"	"266-018-8"	"65996-84-1"	"1541"	"Tar bases, coal, crude"	"266-018-8"	"65996-84-1"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Tar bases, coal, collidine fraction"	"295-543-5"	"92062-28-7"	"1539"	"Tar bases, coal, collidine fraction"	"295-543-5"	"92062-28-7"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Tar bases, coal, aniline fraction"	"295-541-4"	"92062-27-6"	"1539"	"Tar bases, coal, aniline fraction"	"295-541-4"	"92062-27-6"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Tar acids, xylenol fraction"	"284-895-5"	"84989-06-0"	"1541"	"Tar acids, xylenol fraction"	"284-895-5"	"84989-06-0"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Tar acids, residues, distillates, first-cut"	"270-713-1"	"68477-23-6"	"1541"	"Tar acids, residues, distillates, first-cut"	"270-713-1"	"68477-23-6"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Tar acids, polyalkylphenol fraction"	"284-893-4"	"84989-05-9"	"1541"	"Tar acids, polyalkylphenol fraction"	"284-893-4"	"84989-05-9"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Tar acids, methylphenol fraction"	"284-892-9"	"84989-04-8"	"1541"	"Tar acids, methylphenol fraction"	"284-892-9"	"84989-04-8"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Tar acids, ethylphenol fraction"	"284-891-3"	"84989-03-7"	"1541"	"Tar acids, ethylphenol fraction"	"284-891-3"	"84989-03-7"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Tar acids, distn. residues"	"306-251-5"	"96690-55-0"	"1541"	"Tar acids, distn. residues"	"306-251-5"	"96690-55-0"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Tar acids, cresylic, sodium salts, caustic solns."	"272-361-4"	"68815-21-4"	"1541"	"Tar acids, cresylic, sodium salts, caustic solns."	"272-361-4"	"68815-21-4"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Tar acids, cresylic, residues"	"271-418-0"	"68555-24-8"	"1541"	"Tar acids, cresylic, residues"	"271-418-0"	"68555-24-8"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Tar acids, cresylic"	"295-540-9"	"92062-26-5"	"1541"	"Tar acids, cresylic"	"295-540-9"	"92062-26-5"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Tar acids, coal, crude"	"266-019-3"	"65996-85-2"	"1541"	"Tar acids, coal, crude"	"266-019-3"	"65996-85-2"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Tar acids, brown-coal, crude"	"309-888-7"	"101316-86-3"	"1541"	"Tar acids, brown-coal, crude"	"309-888-7"	"101316-86-3"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Tar acids, brown-coal, C2-alkylphenol fraction"	"302-662-9"	"94114-29-1"	"1541"	"Tar acids, brown-coal, C2-alkylphenol fraction"	"302-662-9"	"94114-29-1"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Tar acids, brown-coal gasification"	"295-536-7"	"92062-22-1"	"1541"	"Tar acids, brown-coal gasification"	"295-536-7"	"92062-22-1"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Tar acids, 3,5-xylenol fraction"	"284-896-0"	"84989-07-1"	"1541"	"Tar acids, 3,5-xylenol fraction"	"284-896-0"	"84989-07-1"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Tail gas (petroleum), vacuum residues thermal cracker"	"270-815-6"	"68478-34-2"	"544"	"Tail gas (petroleum), vacuum residues thermal cracker"	"270-815-6"	"68478-34-2"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.1% (w/w) Butadiene"	""	
"Tail gas (petroleum), vacuum gas oil hydrodesulfurised, hydrogen sulfide-free;Tail gas (petroleum), vacuum gas oil hydrodesulfurizer, hydrogen sulfide-free"	"269-632-4"	"68308-12-3"	"1542"	"Tail gas (petroleum), vacuum gas oil hydrodesulfurizer, hydrogen sulfide-free"	"269-632-4"	"68308-12-3"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w 1,3-butadiene"	"Generated using distillation and/or other processing methods"	
"Tail gas (petroleum), vacuum gas oil hydrodesulfurised, hydrogen sulfide-free;Tail gas (petroleum), vacuum gas oil hydrodesulfurizer, hydrogen sulfide-free"	"269-632-4"	"68308-12-3"	"480"	"Tail gas (petroleum), vacuum gas oil hydrodesulfurised, hydrogen sulfide-free"	"269-632-4"	"68308-12-3"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.1% (w/w) Butadiene"	""	
"Tail gas (petroleum), thermal-cracked distillate, gas oil and naphtha absorber"	"273-175-6"	"68952-81-8"	"593"	"Tail gas (petroleum), thermal-cracked distillate, gas oil and naphtha absorber"	"273-175-6"	"68952-81-8"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.1% (w/w) Butadiene"	""	
"Tail gas (petroleum), thermal cracked hydrocarbon fractionation stabiliser, petroleum coking"	"273-176-1"	"68952-82-9"	"594"	"Tail gas (petroleum), thermal cracked hydrocarbon fractionation stabiliser, petroleum coking"	"273-176-1"	"68952-82-9"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.1% (w/w) Butadiene"	""	
"Tail gas (petroleum), straight-run naphtha hydrodesulfurised;Tail gas (petroleum), straight-run naphtha hydrodesulfurizer"	"273-174-0"	"68952-80-7"	"592"	"Tail gas (petroleum), straight-run naphtha hydrodesulfurised"	"273-174-0"	"68952-80-7"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.1% (w/w) Butadiene"	""	
"Tail gas (petroleum), straight-run naphtha hydrodesulfurised;Tail gas (petroleum), straight-run naphtha hydrodesulfurizer"	"273-174-0"	"68952-80-7"	"1542"	"Tail gas (petroleum), straight-run naphtha hydrodesulfurizer"	"273-174-0"	"68952-80-7"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w 1,3-butadiene"	"Generated using distillation and/or other processing methods"	
"Tail gas (petroleum), straight-run distillate hydrodesulfurised, hydrogen sulfide-free;Tail gas (petroleum), straight-run distillate hydrodesulfurizer, hydrogen sulfide-free"	"269-630-3"	"68308-10-1"	"1542"	"Tail gas (petroleum), straight-run distillate hydrodesulfurizer, hydrogen sulfide-free"	"269-630-3"	"68308-10-1"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w 1,3-butadiene"	"Generated using distillation and/or other processing methods"	
"Tail gas (petroleum), straight-run distillate hydrodesulfurised, hydrogen sulfide-free;Tail gas (petroleum), straight-run distillate hydrodesulfurizer, hydrogen sulfide-free"	"269-630-3"	"68308-10-1"	"478"	"Tail gas (petroleum), straight-run distillate hydrodesulfurised, hydrogen sulfide-free"	"269-630-3"	"68308-10-1"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.1% (w/w) Butadiene"	""	
"Tail gas (petroleum), saturate gas recovery plant, C1-2-rich"	"270-814-0"	"68478-33-1"	"543"	"Tail gas (petroleum), saturate gas recovery plant, C1-2-rich"	"270-814-0"	"68478-33-1"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.1% (w/w) Butadiene"	""	
"Tail gas (petroleum), saturate gas plant mixed stream, C4-rich"	"270-813-5"	"68478-32-0"	"542"	"Tail gas (petroleum), saturate gas plant mixed stream, C4-rich"	"270-813-5"	"68478-32-0"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.1% (w/w) Butadiene"	""	
"Tail gas (petroleum), propane-propylene alkylation feed prep deethaniser;Tail gas (petroleum), propane-propylene alkylation feed prep deethanizer"	"269-631-9"	"68308-11-2"	"1542"	"Tail gas (petroleum), propane-propylene alkylation feed prep deethanizer"	"269-631-9"	"68308-11-2"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w 1,3-butadiene"	"Generated using distillation and/or other processing methods"	
"Tail gas (petroleum), propane-propylene alkylation feed prep deethaniser;Tail gas (petroleum), propane-propylene alkylation feed prep deethanizer"	"269-631-9"	"68308-11-2"	"479"	"Tail gas (petroleum), propane-propylene alkylation feed prep deethaniser"	"269-631-9"	"68308-11-2"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.1% (w/w) Butadiene"	""	
"Tail gas (petroleum), light straight-run naphtha stabiliser, hydrogen sulfide-free;Tail gas (petroleum), light straight-run naphtha stabilizer, hydrogen sulfide-free"	"269-629-8"	"68308-09-8"	"1542"	"Tail gas (petroleum), light straight-run naphtha stabilizer, hydrogen sulfide-free"	"269-629-8"	"68308-09-8"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w 1,3-butadiene"	"Generated using distillation and/or other processing methods"	
"Tail gas (petroleum), light straight-run naphtha stabiliser, hydrogen sulfide-free;Tail gas (petroleum), light straight-run naphtha stabilizer, hydrogen sulfide-free"	"269-629-8"	"68308-09-8"	"477"	"Tail gas (petroleum), light straight-run naphtha stabiliser, hydrogen sulfide-free"	"269-629-8"	"68308-09-8"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.1% (w/w) Butadiene"	""	
"Tail gas (petroleum), isomerised naphtha fractionation stabiliser;Tail gas (petroleum), isomerized naphtha fractionation stabilizer"	"269-628-2"	"68308-08-7"	"1542"	"Tail gas (petroleum), isomerized naphtha fractionation stabilizer"	"269-628-2"	"68308-08-7"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w 1,3-butadiene"	"Generated using distillation and/or other processing methods"	
"Tail gas (petroleum), isomerised naphtha fractionation stabiliser;Tail gas (petroleum), isomerized naphtha fractionation stabilizer"	"269-628-2"	"68308-08-7"	"476"	"Tail gas (petroleum), isomerised naphtha fractionation stabiliser"	"269-628-2"	"68308-08-7"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.1% (w/w) Butadiene"	""	
"Tail gas (petroleum), hydrodesulfurised vacuum gas oil stripper, hydrogen sulfide-free;Tail gas (petroleum), hydrodesulfurized vacuum gas oil stripper, hydrogen sulfide-free"	"269-627-7"	"68308-07-6"	"1542"	"Tail gas (petroleum), hydrodesulfurized vacuum gas oil stripper, hydrogen sulfide-free"	"269-627-7"	"68308-07-6"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w 1,3-butadiene"	"Generated using distillation and/or other processing methods"	
"Tail gas (petroleum), hydrodesulfurised vacuum gas oil stripper, hydrogen sulfide-free;Tail gas (petroleum), hydrodesulfurized vacuum gas oil stripper, hydrogen sulfide-free"	"269-627-7"	"68308-07-6"	"475"	"Tail gas (petroleum), hydrodesulfurised vacuum gas oil stripper, hydrogen sulfide-free"	"269-627-7"	"68308-07-6"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.1% (w/w) Butadiene"	""	
"Tail gas (petroleum), hydrodesulfurised straight-run naphtha separator"	"270-810-9"	"68478-30-8"	"541"	"Tail gas (petroleum), hydrodesulfurised straight-run naphtha separator"	"270-810-9"	"68478-30-8"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.1% (w/w) Butadiene"	""	
"Tail gas (petroleum), hydrodesulfurised distillate and hydrodesulfurised naphtha fractionator, acid-free;Tail gas (petroleum), hydrodesulfurized distillate and hydrodesulfurized naphtha fractionator, acid-free"	"269-626-1"	"68308-06-5"	"1542"	"Tail gas (petroleum), hydrodesulfurized distillate and hydrodesulfurized naphtha fractionator, acid-free"	"269-626-1"	"68308-06-5"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w 1,3-butadiene"	"Generated using distillation and/or other processing methods"	
"Tail gas (petroleum), hydrodesulfurised distillate and hydrodesulfurised naphtha fractionator, acid-free;Tail gas (petroleum), hydrodesulfurized distillate and hydrodesulfurized naphtha fractionator, acid-free"	"269-626-1"	"68308-06-5"	"474"	"Tail gas (petroleum), hydrodesulfurised distillate and hydrodesulfurised naphtha fractionator, acid-free"	"269-626-1"	"68308-06-5"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.1% (w/w) Butadiene"	""	
"Tail gas (petroleum), gas recovery plant deethaniser;Tail gas (petroleum), gas recovery plant deethanizer"	"269-625-6"	"68308-05-4"	"1542"	"Tail gas (petroleum), gas recovery plant deethanizer"	"269-625-6"	"68308-05-4"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w 1,3-butadiene"	"Generated using distillation and/or other processing methods"	
"Tail gas (petroleum), gas recovery plant deethaniser;Tail gas (petroleum), gas recovery plant deethanizer"	"269-625-6"	"68308-05-4"	"473"	"Tail gas (petroleum), gas recovery plant deethaniser"	"269-625-6"	"68308-05-4"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.1% (w/w) Butadiene"	""	
"Tail gas (petroleum), gas recovery plant"	"269-624-0"	"68308-04-3"	"1542"	"Tail gas (petroleum), gas recovery plant"	"269-624-0"	"68308-04-3"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w 1,3-butadiene"	"Generated using distillation and/or other processing methods"	
"Tail gas (petroleum), gas recovery plant"	"269-624-0"	"68308-04-3"	"472"	"Tail gas (petroleum), gas recovery plant"	"269-624-0"	"68308-04-3"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.1% (w/w) Butadiene"	""	
"Tail gas (petroleum), gas oil catalytic cracking absorber"	"269-623-5"	"68308-03-2"	"1542"	"Tail gas (petroleum), gas oil catalytic cracking absorber"	"269-623-5"	"68308-03-2"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w 1,3-butadiene"	"Generated using distillation and/or other processing methods"	
"Tail gas (petroleum), gas oil catalytic cracking absorber"	"269-623-5"	"68308-03-2"	"471"	"Tail gas (petroleum), gas oil catalytic cracking absorber"	"269-623-5"	"68308-03-2"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.1% (w/w) Butadiene"	""	
"Tail gas (petroleum), cracked distillate hydrotreater stripper"	"269-620-9"	"68308-01-0"	"1542"	"Tail gas (petroleum), cracked distillate hydrotreater stripper"	"269-620-9"	"68308-01-0"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w 1,3-butadiene"	"Generated using distillation and/or other processing methods"	
"Tail gas (petroleum), cracked distillate hydrotreater stripper"	"269-620-9"	"68308-01-0"	"470"	"Tail gas (petroleum), cracked distillate hydrotreater stripper"	"269-620-9"	"68308-01-0"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.1% (w/w) Butadiene"	""	
"Tail gas (petroleum), cracked distillate hydrotreater separator"	"270-809-3"	"68478-29-5"	"540"	"Tail gas (petroleum), cracked distillate hydrotreater separator"	"270-809-3"	"68478-29-5"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.1% (w/w) Butadiene"	""	
"Tail gas (petroleum), catalytic reformed naphtha stabiliser"	"270-808-8"	"68478-28-4"	"539"	"Tail gas (petroleum), catalytic reformed naphtha stabiliser"	"270-808-8"	"68478-28-4"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.1% (w/w) Butadiene"	""	
"Tail gas (petroleum), catalytic reformed naphtha separator"	"270-807-2"	"68478-27-3"	"538"	"Tail gas (petroleum), catalytic reformed naphtha separator"	"270-807-2"	"68478-27-3"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.1% (w/w) Butadiene"	""	
"Tail gas (petroleum), catalytic reformed naphtha fractionation stabiliser, hydrogen sulfide-free;Tail gas (petroleum), catalytic reformed naphtha fractionation stabilizer, hydrogen sulfide-free"	"269-619-3"	"68308-00-9"	"1542"	"Tail gas (petroleum), catalytic reformed naphtha fractionation stabilizer, hydrogen sulfide-free"	"269-619-3"	"68308-00-9"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w 1,3-butadiene"	"Generated using distillation and/or other processing methods"	
"Tail gas (petroleum), catalytic reformed naphtha fractionation stabiliser, hydrogen sulfide-free;Tail gas (petroleum), catalytic reformed naphtha fractionation stabilizer, hydrogen sulfide-free"	"269-619-3"	"68308-00-9"	"469"	"Tail gas (petroleum), catalytic reformed naphtha fractionation stabiliser, hydrogen sulfide-free"	"269-619-3"	"68308-00-9"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.1% (w/w) Butadiene"	""	
"Tail gas (petroleum), catalytic reformed naphtha fractionation stabiliser"	"270-806-7"	"68478-26-2"	"537"	"Tail gas (petroleum), catalytic reformed naphtha fractionation stabiliser"	"270-806-7"	"68478-26-2"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.1% (w/w) Butadiene"	""	
